GRAND,NAME,RIVER,STATE,YEAR,HEIGHT,LEN,AREA_SKM,CAP_MCM,DIS_AVG_LS,MAIN_USE,QUALITY,LONG,LAT
2044,Ripogenus,West Branch of Penobscot River,Maine,1916,25,242,110.28,1205.1,70877,Hydroelectricity,2: Good,-69.17805,45.880388
2037,Harrington Lake Dam,Duck Brook,Maine,1930,4,581,5.31,13.3,832,Hydroelectricity,2: Good,-69.314665,46.187878
2038,Telos Dam,Allagash Stream,Maine,1890,5,73,52.48,129.8,12066,Hydroelectricity,2: Good,-69.130878,46.142941
2039,Loon Lake Dam,Loon Stream,Maine,1930,5,156,4.56,14.6,3176,Hydroelectricity,2: Good,-69.603112,46.130216
2040,Sourdnahunk Dam,Nesowadnehunk Stream,Maine,1930,4,109,5.34,14.6,817,Hydroelectricity,2: Good,-69.068811,46.020505
2034,Lock Dam,Allagash Stream,Maine,1875,4,85,52.18,129.8,14156,Hydroelectricity,2: Good,-69.290177,46.492537
2032,Squa Pan,Squa Pan Stream,Maine,1928,11,180,20.71,110,3801,Hydroelectricity,2: Good,-68.325187,46.557489
1951,Area C,,Florida,1969,7,5532,3.13,11.5,229,Other,2: Good,-81.984143,27.721076
1937,Edward Medard Reservoir Dam,Little Alafia River,Florida,1977,12,2179,1.75,20.2,636,Recreation,2: Good,-82.167911,27.91879
1935,Dam P-8,Canal P8,Florida,1965,7,15,8.29,47.2,4395,Flood control,2: Good,-81.652083,28.03628
1922,Eugene J. Burrell Lock and Dam,Haines Creek,Florida,1957,6,152,31.24,108.5,977,Flood control,2: Good,-81.780208,28.868275
1953,Manatee Cooling Water Reservoir,Little Manatee River,Florida,1975,24,14630,13.3,64.1,643,Other,2: Good,-82.327083,27.633982
1954,Lake Manatee Dam,Manatee River,Florida,1967,16,1433,4.98,57.5,3901,Water supply,2: Good,-82.350901,27.496747
1956,Martin Plant Cooling Water Reservoir,Offstream St. Lucie Canal,Florida,1981,10,27763,23.05,117.2,1159,Other,2: Good,-80.5967,27.003604
1885,Horton Creek Reservoir Dam,Horton Creek,Georgia,1996,16,-99,3.15,22.4,259,Recreation,2: Good,-84.422917,33.319256
1886,Lloyd Shoals,Ocmulgee,Georgia,1911,32,488,9.41,132,52085,Hydroelectricity,2: Good,-83.845533,33.320084
1887,Lake Nicol Dam,Yellow Creek,Alabama,1954,25,244,1,12.8,1263,Water supply,2: Good,-87.482773,33.290933
1888,Lake Tuscaloosa Dam,North River,Alabama,1971,38,390,18.05,222,22808,Water supply,2: Good,-87.507011,33.265987
1881,Plant Wansley Main Storage Lake Dam,,Georgia,1975,37,4828,3.73,59.2,932,Water supply,2: Good,-85.033178,33.424707
1883,Wallace,Oconee,Georgia,1980,37,730,69.96,727.8,64278,Hydroelectricity,2: Good,-83.157149,33.352754
1884,Upper Towaliga River Dam,Towaliga River,Georgia,1988,16,-99,2.53,36.7,1058,Recreation,2: Good,-84.206404,33.330784
1877,Spivey Lake Dam,,Georgia,1957,14,701,2.02,16.3,469,Recreation,2: Good,-84.28125,33.514875
1878,Lake Purdy Dam,Little Cahaba River,Alabama,1964,17,65,3,32.6,2145,Water supply,2: Good,-86.667015,33.459038
1879,North Santee Dam,Santee River,South Carolina,1942,21,11582,223.33,1517.2,561578,Flood control,2: Good,-80.16573,33.452083
1880,Logan Martin,Coosa,Alabama,1964,43,1852,55.76,801.8,374051,Hydroelectricity,2: Good,-86.33435,33.424661
1873,Cornish Creek Reservoir Dam,Cornish Creek,Georgia,1991,16,488,3.35,22.7,927,Water supply,2: Good,-83.802824,33.649576
1874,Miller Steam Plant Ash Pond,Trib. Locust Fork,Alabama,1977,48,1311,0.26,11.7,14,Other,2: Good,-87.058763,33.604037
1875,Bayview Lake,Village Creek,Alabama,1910,30,168,0.59,17.5,3701,Water supply,2: Good,-86.987236,33.572007
1876,John C. Stennis,Tombigbee,Mississippi,1978,25,305,9.02,73.4,272854,Navigation,2: Good,-88.488172,33.519852
1870,H. Neely Henry,Coosa,Alabama,1966,32,1434,26.3,149,323171,Hydroelectricity,2: Good,-86.056267,33.785434
1865,Glover Wilkins,Tombigbee,Mississippi,1981,17,1951,9.6,23.5,66231,Navigation,2: Good,-88.422511,34.065793
1866,Saluda,Saluda,South Carolina,1930,71,2377,180.93,2713.7,98072,Hydroelectricity,2: Good,-81.219554,34.051852
1867,Lewis Smith,Sipsey Fork of Black Warrior River,Alabama,1961,91,671,62.65,2060.8,53574,Hydroelectricity,2: Good,-87.10631,33.94409
1868,Aberdeen Dam,Tombigbee,Mississippi,1981,20,152,5.65,38.9,135363,Navigation,2: Good,-88.519826,33.832243
1861,Buzzards Roost Embankment,Saluda River,South Carolina,1940,25,732,36.75,315.8,59015,Hydroelectricity,2: Good,-81.910108,34.173577
1862,Allatoona Lake Dam and Powerhouse,Etowah,Georgia,1965,57,38,36.21,826.5,57607,Flood control,2: Good,-84.726313,34.164969
1863,Buford,Chattahoochee River,Georgia,1958,70,753,133.83,3150.3,64677,Flood control,2: Good,-84.072357,34.16084
1864,Enid Dam,Yocona River,Mississippi,1952,34,2560,59.01,1496.8,42537,Flood control,2: Good,-89.90447,34.151653
1857,Parr Shoals Dam,Broad River,South Carolina,1914,17,828,11.74,39.5,207956,Hydroelectricity,2: Good,-81.331876,34.261911
1858,Rocky River Dam,Rocky,South Carolina,1940,26,152,3.22,31.6,7921,Hydroelectricity,2: Good,-82.611458,34.257845
1859,Lake Catoma Dam,Eight Mile Creek,Alabama,1966,30,549,1.37,26.4,1631,Water supply,2: Good,-86.805208,34.193191
1860,Weiss Main Dam,Coosa,Alabama,1961,26,9387,44.33,377.8,260542,Hydroelectricity,2: Good,-85.753125,34.173958
1917,Jackson Bluff,Ochlockonee,Florida,1928,18,1097,28.87,185,61902,Recreation,2: Good,-84.64701,30.390823
1919,Rodman Dam and Spillway,Oklawaha River,Florida,1968,13,2187,18.56,160.4,77588,Navigation,2: Good,-81.806955,29.50779
1920,Inglis,Withlacoochee,Florida,1909,6,15545,8.44,41.4,45896,Other,2: Good,-82.614021,29.01
1913,Big Bay Lake,Bay Creek,Mississippi,1991,17,610,3.52,26.4,503,Recreation,2: Good,-89.567708,31.182764
1914,Flint Creek Reservoir,Flint Creek,Mississippi,1965,16,869,1.85,19.6,537,Recreation,2: Good,-89.124606,30.874179
1915,Big Creek Lake,Big Creek,Alabama,1952,23,1524,10.95,168.4,5728,Water supply,2: Good,-88.33551,30.714731
1916,Jim Woodruff Dam,Apalachicola River,Florida,1952,28,2134,83.51,501,644760,Navigation,2: Good,-84.866115,30.708037
1909,Lake Blackshear,Flint River,Georgia,1930,13,1419,27.15,178.9,121404,Hydroelectricity,2: Good,-83.942959,31.853135
1910,Walter F. George Lock and Dam,Chattahoochee River,Alabama,1962,52,4141,126.37,1152.6,287226,Navigation,2: Good,-85.064945,31.627517
1911,Gantt,Conecuh River,Alabama,1924,13,366,6.07,18.1,28034,Hydroelectricity,2: Good,-86.478011,31.406467
1912,Lake Tholocco,Claybank Creek,Alabama,1935,14,732,2.21,21.7,3952,Recreation,2: Good,-85.719012,31.385648
1906,Oliver,Chattahoochee,Georgia,1959,21,616,6.58,39.5,199867,Hydroelectricity,2: Good,-85.001975,32.515961
1907,Dalewood Shores Lake,Ponta Creek,Mississippi,1962,10,1158,3.38,25.8,1092,Recreation,2: Good,-88.513066,32.500656
1908,Okatibbee Dam,Okatibbee Creek,Mississippi,1968,22,2018,14.24,73.4,7429,Flood control,2: Good,-88.792326,32.474874
1901,Bartletts Ferry Main Dam,Chattahoochee,Georgia,1926,46,1154,18.6,225.7,187501,Hydroelectricity,2: Good,-85.089661,32.665236
1902,Jordan,Coosa,Alabama,1928,38,630,11.06,289.9,476363,Hydroelectricity,2: Good,-86.256528,32.620036
1897,Town Creek Reservoir Dam,Town Creek,Georgia,1993,34,-99,1.44,33.1,178,Water supply,2: Good,-83.656299,32.902294
1898,Lake Tobesofkee Dam,Tobesofkee Creek,Georgia,1965,16,262,5.56,53.1,5164,Flood control,2: Good,-83.769377,32.820643
1899,Mitchell,Coosa,Alabama,1923,32,385,19.72,212.2,462518,Hydroelectricity,2: Good,-86.444792,32.807471
1900,Martin,Tallapoosa,Alabama,1926,53,792,134.03,2004.4,126707,Hydroelectricity,2: Good,-85.910417,32.682016
1893,Savannah River Steel Creek Dam,Trib. Steel Creek,South Carolina,1986,27,1219,3.82,48.9,363,Other,2: Good,-81.632592,33.161577
1894,Sinclair,Oconee,Georgia,1953,32,911,37.95,604.4,95103,Hydroelectricity,2: Good,-83.202083,33.141394
1895,Lay,Coosa,Alabama,1914,43,689,32.39,326.9,431940,Hydroelectricity,2: Good,-86.518663,32.965262
1896,West Point,Chattahoochee River,Georgia,1974,37,2210,89.93,746.3,159745,Flood control,2: Good,-85.192847,32.924552
1889,R.L. Harris,Tallapoosa,Alabama,1983,46,988,24.96,525.5,61661,Hydroelectricity,2: Good,-85.610417,33.260829
1890,Pinopolis West Dam,Cooper River,South Carolina,1942,42,3505,220.89,1369.2,4921,Flood control,2: Good,-79.999023,33.240867
1891,Savannah River Par Pond Lower Dam,Trib. Lower Three Runs,South Carolina,1959,20,1362,8.81,106,1299,Other,2: Good,-81.51875,33.236584
1821,Lake Bowen Dam,Pacolet River,South Carolina,1956,17,122,5.6,39.5,4463,Water supply,2: Good,-82.020144,35.109028
1822,Chickamauga,Tennessee River,Tennessee,1940,39,1768,110.99,909.4,1301559,Navigation,2: Good,-85.226742,35.102025
1823,Ocoee 1,Ocoee River,Tennessee,1911,41,256,6.12,102.7,46345,Hydroelectricity,2: Good,-84.646551,35.094393
1824,Pickwick Landing,Tennessee River,Tennessee,1938,34,2352,155.68,1363,1967736,Navigation,2: Good,-88.247429,35.069376
1817,Apalachia,Hiwassee River,North Carolina,1943,46,399,3.4,71.3,80590,Hydroelectricity,2: Good,-84.293303,35.168026
1818,Hiwassee,Hiwassee River,North Carolina,1940,94,419,12.39,535.3,77329,Flood control,2: Good,-84.176042,35.152638
1819,N. Saluda Reservoir Dam,Saluda River,South Carolina,1956,53,488,3.88,113.8,1659,Water supply,2: Good,-82.406124,35.140323
1820,Toxaway Dam Lower,Toxaway River,North Carolina,1961,18,213,1.94,26.5,685,Recreation,2: Good,-82.933089,35.124708
1813,Lake Auman Dam,Jackson,North Carolina,1997,28,792,3.14,34.6,124,Recreation,2: Good,-79.602083,35.239826
1814,Tillery,Pee Dee River,North Carolina,1928,27,839,19.14,206,182664,Hydroelectricity,2: Good,-80.06875,35.207212
1815,Nantahala,Nantahala River,North Carolina,1942,76,318,4.94,155.4,6674,Hydroelectricity,2: Good,-83.653125,35.197248
1816,Thorpe,West Fork of Tuckasegee River,North Carolina,1941,46,274,4.98,82.8,2222,Hydroelectricity,2: Good,-83.153466,35.196105
1809,Mountain Island,Catawba,North Carolina,1923,29,419,7.07,56.7,84538,Hydroelectricity,2: Good,-80.985417,35.339583
1810,Elk River Dam,Elk River,Tennessee,1952,27,735,13.58,125.6,13426,Water supply,2: Good,-86.093709,35.297956
1811,Moss Lake Dam,Buffalo Creek,North Carolina,1973,30,256,4.78,65.7,2947,Water supply,2: Good,-81.456169,35.277854
1812,Bear Creek,East Fork of Tuckasegee River,North Carolina,1954,66,232,1.26,42.7,5802,Hydroelectricity,2: Good,-83.068498,35.241953
1805,Lake Lure Dam,Rocky Broad River,North Carolina,1927,38,146,2.78,55.4,5906,Hydroelectricity,2: Good,-82.185319,35.425826
1806,Yadkin Narrows,Yadkin River,North Carolina,1917,65,349,22.1,176.1,168059,Hydroelectricity,2: Good,-80.09409,35.420237
1807,Santeetlah,Cheoah River,North Carolina,1928,66,321,7.95,188.2,13119,Hydroelectricity,2: Good,-83.876792,35.376048
1801,Fontana,Little Tennessee River,North Carolina,1944,146,721,24.89,1779.9,127280,Flood control,2: Good,-83.807292,35.453399
1802,Cheoah,Little Tennessee River,North Carolina,1919,72,229,1.81,43.2,146613,Hydroelectricity,2: Good,-83.934611,35.44835
1804,Cowans Ford,Catawba,North Carolina,1963,41,2663,111.96,510.8,82688,Hydroelectricity,2: Good,-80.952083,35.435689
1797,Watts Bar,Tennessee River,Tennessee,1942,34,902,120.67,1449.3,1036748,Navigation,2: Good,-84.780208,35.623945
1799,Calderwood,Little Tennessee River,Tennessee,1930,70,279,1.57,50.7,149677,Hydroelectricity,2: Good,-83.978413,35.494661
1800,Normandy,Duck River,Tennessee,1976,34,835,10.62,155.5,9014,Hydroelectricity,2: Good,-86.242708,35.466245
1793,Walters,Pigeon River,North Carolina,1929,63,274,0.92,21,27651,Hydroelectricity,2: Good,-83.047917,35.693466
1794,Beech River Dam,Beech River,Tennessee,1963,5,107,3.25,13.7,870,Flood control,2: Good,-88.416975,35.661986
1854,Arrowhead Lake Dam,Lost Town Creek,Georgia,1974,33,526,1.58,29.4,436,Recreation,2: Good,-84.590425,34.290859
1855,Upper Bear Creek,Bear Creek,Alabama,1978,26,462,4.15,45.1,5663,Flood control,2: Good,-87.692356,34.27409
1856,Fulton,Tombigbee,Mississippi,1981,18,121,5.42,16.3,12705,Navigation,2: Good,-88.426571,34.260518
1849,Lake Robinson Dam,Black Creek,South Carolina,1960,17,1219,8.06,68.5,4752,Hydroelectricity,2: Good,-80.154879,34.402747
1852,Wateree,Catawba River,South Carolina,1919,28,418,43.73,323.7,182271,Hydroelectricity,2: Good,-80.702952,34.336709
1845,Jamie L. Whitten Lock and Dam,Tombigbee,Mississippi,1983,37,838,25.16,222,3785,Navigation,2: Good,-88.321875,34.524077
1846,Little Bear Creek,Little Bear Creek,Alabama,1975,26,739,5.03,51.1,3344,Flood control,2: Good,-87.972917,34.452307
1847,Guntersville,Tennessee River,Alabama,1939,29,1213,166.93,1293.9,1521050,Navigation,2: Good,-86.39202,34.421538
1848,Sardis Dam,Little Tallahatchie River,Mississippi,1940,36,4663,118.58,3720.2,105082,Flood control,2: Good,-89.792634,34.407344
1842,Fishing Creek,Catawba,South Carolina,1916,32,137,9.06,74,154839,Hydroelectricity,2: Good,-80.890625,34.60297
1843,Cedar Creek,Cedar Creek,Alabama,1978,30,963,12.54,130.4,9790,Flood control,2: Good,-87.972741,34.54375
1844,Rocky Creek,Catawba River,South Carolina,1909,36,558,2.49,11.9,172760,Hydroelectricity,2: Good,-80.877648,34.541573
1837,Burton,Tallulah,Georgia,1927,41,318,8.98,133.2,9178,Hydroelectricity,2: Good,-83.54071,34.794906
1838,Mathis and Terrora,Tallulah,Georgia,1925,34,182,2.07,38.2,11770,Hydroelectricity,2: Good,-83.419678,34.76875
1839,Tugalo,Tallulah,Georgia,1923,47,259,1.72,53,34434,Hydroelectricity,2: Good,-83.352742,34.715414
1840,Yonah,Tugaloo,Georgia,1925,28,299,1.04,14.4,34795,Hydroelectricity,2: Good,-83.339583,34.685749
1833,Nottely,Nottely River,Georgia,1942,61,1193,7.23,215,17544,Flood control,2: Good,-84.090625,34.955905
1834,Blue Ridge,Toccoa River,Georgia,1930,51,305,9.38,241.6,18031,Hydroelectricity,2: Good,-84.278125,34.881121
1836,Keowee,Keowee,South Carolina,1971,52,1067,58.59,1178.7,29353,Hydroelectricity,2: Good,-82.889333,34.799787
1829,Nickajack,Tennessee River,Tennessee,1967,25,1148,39.05,310.3,1379772,Navigation,2: Good,-85.618247,35.001899
1830,Lake Robinson Dam,South Tyger River,South Carolina,1984,23,301,3.01,55.5,3301,Water supply,2: Good,-82.294902,34.995604
1831,Blewett Falls,Pee Dee River,North Carolina,1912,23,1252,8.82,119.6,255400,Hydroelectricity,2: Good,-79.879,34.983522
1832,Main Dam,Keowee,South Carolina,1973,117,556,29.19,1588.5,11330,Hydroelectricity,2: Good,-82.919421,34.961163
1825,Table Rock Reservoir,South Saluda River,South Carolina,1925,46,244,1.76,37,1080,Water supply,2: Good,-82.673908,35.064704
1826,H. Taylor Blalock Reservoir Dam,Pacolet River,South Carolina,1983,22,305,2.8,28.4,14598,Water supply,2: Good,-81.865792,35.05625
1827,Winthrop University Dam,Catawba,South Carolina,1925,31,749,36.15,304,128743,Hydroelectricity,2: Good,-81.010741,35.022443
1828,Chatuge,Hiwassee River,North Carolina,1942,46,1017,21.53,296.7,10952,Flood control,2: Good,-83.79203,35.016806
1757,Lake Prince Dam,Nansemond,Virginia,1921,10,640,5.78,18.6,2863,Water supply,2: Good,-76.582922,36.800591
1758,Philpott Dam,Smith River,Virginia,1953,67,280,8.25,392.6,9779,Hydroelectricity,2: Good,-80.028689,36.782001
1759,Cannon Creek Dam,Yellow Creek,Kentucky,1972,38,274,0.86,13.9,208,Water supply,2: Good,-83.691103,36.684612
1760,Lake Drummond,Lake Drummond,Virginia,1825,10,-99,12.93,27.1,3332,Navigation,2: Good,-76.448713,36.597748
1753,Kentucky,Tennessee River,Kentucky,1944,63,2567,574.74,7560,2141379,Navigation,2: Good,-88.268652,37.010296
1754,Laurel Dam,Laurel,Kentucky,1973,86,433,19.02,537.3,10576,Flood control,2: Good,-84.267474,36.959995
1755,Barren River Lake Dam,Barren River,Kentucky,1964,45,1210,32,1005.5,40916,Flood control,2: Good,-86.122475,36.893486
1756,Wolf Creek,Cumberland,Kentucky,1951,79,1748,159.47,7510.7,235609,Hydroelectricity,2: Good,-85.14375,36.867817
1749,Mud River Dam,Mud River,Kentucky,1961,17,186,1.86,25.4,959,Flood control,2: Good,-87.032855,37.08036
1750,Claytor,New River,Virginia,1939,42,351,14.61,286.2,111924,Hydroelectricity,2: Good,-80.586611,37.073821
1751,Smith Mountain,Roanoke River,Virginia,1964,72,249,71.08,1408.6,33177,Hydroelectricity,2: Good,-79.536533,37.042396
1752,Barkley Dam,Cumberland,Kentucky,1966,48,3103,255.13,2568.1,713121,Hydroelectricity,2: Good,-88.218748,37.018747
1746,Wood Creek Lake Dam,Rockcastle River,Kentucky,1969,50,244,1.74,35.9,931,Water supply,2: Good,-84.197759,37.213029
1748,Leesville,Roanoke River,Virginia,1963,27,299,8.88,117.1,49663,Hydroelectricity,2: Good,-79.403388,37.089571
1741,Green River Lake Dam,Green River,Kentucky,1969,44,716,30.77,892.1,25798,Flood control,2: Good,-85.339277,37.247917
1742,John W. Flannagan Dam,Pound River,Virginia,1963,76,279,2.78,179.7,7853,Flood control,2: Good,-82.347917,37.231204
1743,Clifford D. Craig Memorial Dam,Trib. Roanoke River,Virginia,1994,73,297,0.41,14.1,91,Water supply,2: Good,-80.175809,37.229911
1744,Carr Creek Lake Dam,Carr Creek,Kentucky,1975,40,219,1.81,58.8,1961,Flood control,2: Good,-83.031211,37.22716
1737,Carvin Cove Dam,Carvins Creek,Virginia,1946,26,96,2.17,28.4,589,Water supply,2: Good,-79.957783,37.370207
1738,Little Creek Dam,Little Creek,Virginia,1980,20,579,2.45,39.6,160,Water supply,2: Good,-76.839504,37.352308
1740,Nolin Lake Dam,Nolin River,Kentucky,1963,51,299,17.98,751.7,24443,Flood control,2: Good,-86.246529,37.278458
1734,Diascund Creek Dam,Diascund Creek,Virginia,1963,11,1679,3.49,35.9,1107,Water supply,2: Good,-76.902081,37.431178
1736,Swift Creek Reservoir Dam,Swift Creek,Virginia,1965,13,338,6.1,62.4,2240,Water supply,2: Good,-77.648061,37.41899
1729,Little Grassy Lake Dam,Little Grassy Creek,Illinois,1950,26,1122,3.19,42.3,534,Recreation,2: Good,-89.136989,37.646179
1730,Devils Kitchen Lake Dam,Big Grassy Creek,Illinois,1960,30,204,2.14,38.9,655,Recreation,2: Good,-89.103309,37.639766
1731,Lake of Egypt Dam,South Fork of Saline River,Illinois,1962,17,869,7.88,102.3,1112,Other,2: Good,-88.940137,37.621959
1732,Rough River Lake Dam,Rough River,Kentucky,1959,40,485,15.7,412.5,15225,Flood control,2: Good,-86.500231,37.61843
1789,Rhodhiss,Catawba,North Carolina,1925,22,206,6.5,83.4,54018,Hydroelectricity,2: Good,-81.439986,35.772803
1790,Lookout Shoals,Catawba,North Carolina,1915,27,554,3.85,32.6,69358,Hydroelectricity,2: Good,-81.090611,35.757868
1791,Catawba,Catawba River,North Carolina,1919,46,962,24.51,356.2,23518,Hydroelectricity,2: Good,-81.840625,35.744272
1785,Tansi,Basses Creek,Tennessee,1959,20,732,1.43,19.7,221,Other,2: Good,-85.063542,35.864265
1786,Oxford,Catawba,North Carolina,1928,37,243,13.22,157.3,63396,Hydroelectricity,2: Good,-81.194332,35.821759
1787,Great Falls,Caney Fork River,Tennessee,1916,28,244,4.14,61.9,42427,Hydroelectricity,2: Good,-85.621457,35.801042
1788,Tellico,Little Tennessee River,Tennessee,1979,39,987,99.83,576.8,560341,Recreation,2: Good,-84.239583,35.789583
1783,Melton Hill,Clinch River,Tennessee,1963,31,311,17.55,155.4,161567,Navigation,2: Good,-84.296716,35.882789
1784,Lake Tom-A-Lex Dam,Abbotts Creek,North Carolina,1957,13,194,2.28,13.8,2392,Water supply,2: Good,-80.189892,35.877422
1777,Center Hill Dam,Caney Fork River,Tennessee,1951,76,658,59.54,2580.4,106111,Flood control,2: Good,-85.82558,36.096527
1778,Lake Mackintosh Dam,Great Alamance Creek,North Carolina,1992,21,122,3.64,28.4,3187,Recreation,2: Good,-79.505208,36.038717
1779,Oak Hollow Lake Dam,West Fork of Deep River,North Carolina,1971,16,442,2.47,30.2,1030,Recreation,2: Good,-79.987081,36.012116
1773,Lake Brandt Dam,Reedy Fork,North Carolina,1920,12,779,2.9,22.7,2056,Water supply,2: Good,-79.840152,36.172392
1774,Cherokee Saddle Dam 1,Holston River,Tennessee,1941,30,274,71.1,1900.8,176702,Flood control,2: Good,-83.497532,36.164256
1775,J. Percy Priest Dam,Stones River,Tennessee,1967,45,828,52.84,804.2,39143,Flood control,2: Good,-86.617997,36.155261
1769,Troublesome Creek Dam,Troublesome Creek,North Carolina,1974,14,524,2.58,26.1,1363,Water supply,2: Good,-79.661917,36.284521
1770,Norris,Clinch River,Tennessee,1936,81,567,88.01,3147.8,134500,Flood control,2: Good,-84.09268,36.227217
1771,Townsend Lake Dam,Reedy Fork,North Carolina,1969,12,433,5.49,40.3,2880,Water supply,2: Good,-79.732884,36.188961
1765,Boone,South Fork of Holston River,Tennessee,1952,51,517,10.43,238.6,95625,Flood control,2: Good,-82.434375,36.438918
1767,Watauga,Watauga River,Tennessee,1948,101,282,21.41,835.1,26646,Flood control,2: Good,-82.121993,36.3216
1768,Old Hickory Dam,Cumberland River,Tennessee,1954,30,1143,58.47,672.2,516596,Hydroelectricity,2: Good,-86.658869,36.29189
1761,John H. Kerr Dam,Roanoke River,Virginia,1953,44,849,180.87,4148.8,265021,Hydroelectricity,2: Good,-78.294784,36.59626
1763,South Holston,South Fork of Holston River,Tennessee,1950,87,488,22.37,942.4,34980,Flood control,2: Good,-82.085291,36.523027
1693,T. Nelson Elliott Dam,Broad Run,Virginia,1968,24,381,2.05,34.5,2480,Hydroelectricity,2: Good,-77.623896,38.764549
1694,East Fork Lake Dam,East Fork of Fox River,Illinois,1972,26,1981,2.57,28,568,Water supply,2: Good,-88.080251,38.763116
1695,West Boggs Creek Structure 1,West Boggs Creek,Indiana,1971,16,835,2.14,22.7,409,Flood control,2: Good,-86.920483,38.7229
1696,Stephen A. Forbes State Park Lake Dam,Lost Fork Creek,Illinois,1963,14,407,1.55,19.4,574,Recreation,2: Good,-88.749369,38.71233
1689,Newton Power Station Lake Dam,Weather Creek,Illinois,1975,16,518,5.42,61.2,1861,Recreation,2: Good,-88.303125,38.886339
1690,Greenwood Lake Dam,First Creek,Indiana,1937,17,475,2.9,36.8,485,Flood control,2: Good,-86.868741,38.885272
1692,Quick Creek Reservoir,Quick Creek,Indiana,1970,18,549,2.58,33.9,361,Water supply,2: Good,-85.709958,38.789107
1687,Stingy Run Fly Ash Dam,Stingy Run,Ohio,1974,46,524,0.99,31.7,39,Other,2: Good,-82.145306,38.963885
1688,Greenville New City Dam,Kingsbury Branch of Shoal Creek,Illinois,1969,12,366,2.5,27.6,755,Water supply,2: Good,-89.398958,38.927287
1681,Hoosier Energy Reservoir Dam,Trib. Turtle Creek,Indiana,1980,20,335,5.53,49,1154,Water supply,2: Good,-87.52579,39.044707
1682,Coffeen Lake Dam,Shoal Creek,Illinois,1964,21,396,3.38,44.2,426,Other,2: Good,-89.389336,39.03605
1683,William H. Harsha Lake Dam,East Fork of Little Miami River,Ohio,1973,62,442,7.82,363.6,11788,Flood control,2: Good,-84.146664,39.021119
1684,Monroe Lake Dam,Salt Creek,Indiana,1965,28,411,40.19,544,12669,Flood control,2: Good,-86.50046,39.007857
1677,Grandview Lake Dam,East Fork of White Creek,Indiana,1967,25,692,1.29,14.7,84,Water supply,2: Good,-86.036919,39.148778
1678,Lake Sara Dam,Blue Point Creek,Illinois,1957,20,495,1.8,25.2,396,Water supply,2: Good,-88.618823,39.126872
1679,Rocky Gorge Dam,Patuxent River,Maryland,1953,41,256,1.88,27.1,5512,Water supply,2: Good,-76.876639,39.119224
1673,Lake Lou Yaeger Dam,West Fork of Shoal Creek,Illinois,1966,16,387,5.18,54.8,2259,Water supply,2: Good,-89.600885,39.186514
1674,Lake Glenn Shoals Dam,Middle Fork of Shoal Creek,Illinois,1978,17,436,4.04,48,1518,Water supply,2: Good,-89.477227,39.187113
1675,Rocky Fork Lake Dam,Rocky Fork of Paint Creek,Ohio,1952,22,116,7.51,107.4,3928,Recreation,2: Good,-83.440859,39.18505
1676,Little Seneca Dam,Little Seneca Creek,Maryland,1984,30,183,1.56,29.8,832,Water supply,2: Good,-77.299656,39.183082
1669,Lake Lemon Dam,Beanblossom Creek,Indiana,1952,16,201,5.19,56.4,2118,Water supply,2: Good,-86.416189,39.271623
1672,Brighton Dam,Patuxent River,Maryland,1943,24,303,2.64,33.3,3284,Water supply,2: Good,-77.007143,39.19374
1666,Lake Mattoon Dam,Little Wabash River,Illinois,1957,14,686,3.56,27.8,1677,Water supply,2: Good,-88.481004,39.335353
1667,Tygart Dam,Tygart River,West Virginia,1938,71,586,6.3,437.9,76001,Navigation,2: Good,-80.032311,39.312771
1668,Sweetwater Lake Dam,Sweetwater Creek,Indiana,1965,43,475,0.73,14.4,71,Recreation,2: Good,-86.123067,39.291463
1725,Kincaid Lake Dam,Kincaid Creek,Illinois,1972,29,299,8.27,188.7,1485,Water supply,2: Good,-89.453125,37.77845
1726,Dewey Dam,Johns Creek of Levisa Fork,Kentucky,1949,36,278,3.27,115.1,6115,Flood control,2: Good,-82.725985,37.734423
1727,Crab Orchard Lake Dam,Crab Orchard Creek,Illinois,1940,14,902,27.92,204.8,6232,Recreation,2: Good,-89.150465,37.719633
1728,Cedar Lake Dam,Cedar Creek,Illinois,1974,23,515,6.45,60.9,776,Water supply,2: Good,-89.283708,37.657364
1721,Gathright Dam,Jackson River,Virginia,1978,78,368,8.92,519.9,14635,Flood control,2: Good,-79.961544,37.948184
1722,Lake Monticello Dam,Boston Creek,Virginia,1969,26,305,1.11,24.1,307,Recreation,2: Good,-78.299749,37.91297
1724,Dix River Dam,Dix River,Kentucky,1925,87,518,7.28,284.3,16925,Hydroelectricity,2: Good,-84.703916,37.784284
1717,North Anna Dam,North Anna River,Virginia,1972,27,1570,44.63,376.2,13160,Hydroelectricity,2: Good,-77.711209,38.018816
1718,Taylorsville Lake Dam,Salt River,Kentucky,1983,49,390,10.6,359.8,13137,Flood control,2: Good,-85.302083,38.002023
1719,Doe Valley Lake Dam,Doe Run,Kentucky,1962,30,335,1.16,19.4,1270,Water supply,2: Good,-86.114583,37.996937
1713,Yatesville Dam,Blaine Creek,Kentucky,1988,48,261,6.98,102.7,5635,Flood control,2: Good,-82.696959,38.125451
1714,Cave Run Lake Dam,Licking River,Kentucky,1974,45,823,27.85,757.5,25060,Flood control,2: Good,-83.530932,38.114969
1716,Rend Lake Dam,Big Muddy River,Illinois,1971,16,3117,73.03,749.8,11662,Flood control,2: Good,-88.968937,38.037374
