GRAND,NAME,RIVER,STATE,YEAR,HEIGHT,LEN,AREA_SKM,CAP_MCM,DIS_AVG_LS,MAIN_USE,QUALITY,LONG,LAT
210,Don Pedro,Tuolumne River,California,1971,173,579,41.55,2504,57604,Irrigation,2: Good,-120.419017,37.70282
211,Modesto Reservoir,Trib. Tuolumne River,California,1911,11,376,6.25,35.8,187,Irrigation,2: Good,-120.679741,37.66041
212,Turlock Lake,Trib. Tuolumne River,California,1915,11,60,7.92,56.2,206,Water supply,2: Good,-120.600783,37.623489
205,Woodward,Simmons Creek,California,1918,20,945,5.47,43.2,162,Irrigation,2: Good,-120.875419,37.86321
206,Clifton Court,Trib. Old River,California,1970,10,11887,9.43,35.8,2976,Irrigation,2: Good,-121.573362,37.862702
207,Los Vaqueros,Kellogg Creek,California,1997,60,299,5.25,123.3,196,Water supply,2: Good,-121.728565,37.835349
208,New San Leandro,San Leandro Creek,California,1977,55,396,1.41,51.8,428,Water supply,2: Good,-122.098998,37.763463
202,Briones,Bear Creek,California,1964,83,640,1.99,83.3,134,Water supply,2: Good,-122.209269,37.915522
204,Tulloch,Stanislaus River,California,1958,62,583,3.17,84.4,43619,Hydroelectricity,2: Good,-120.602083,37.877114
198,New Melones,Stanislaus River,California,1979,194,580,43.21,2985,41524,Irrigation,2: Good,-120.522863,37.948664
199,Jamestown Mines,Trib. Woods Creek,California,1994,61,1152,0.4,14.9,9,Water supply,2: Good,-120.444604,37.945322
200,San Pablo,San Pablo Creek,California,1920,52,381,2.1,53.3,500,Water supply,2: Good,-122.259099,37.942618
193,New Hogan Dam,Calaveras River,California,1963,64,597,14.76,391.1,12995,Flood control,2: Good,-120.813047,38.152175
194,Soulajule,Arroyo Sausal,California,1979,37,213,0.73,13.2,823,Irrigation,2: Good,-122.782567,38.150588
195,Seeger,Nicasio Creek,California,1961,35,122,3.17,27.6,1594,Water supply,2: Good,-122.75335,38.078079
196,Salt Springs Valley,Rock Creek,California,1882,14,655,4.51,13.4,545,Irrigation,2: Good,-120.760415,38.031251
233,Salinas Dam,Salinas River,California,1941,41,93,1.82,53.3,1342,Water supply,2: Good,-120.500628,35.337189
234,Lopez,Arroyo Grande Creek,California,1969,51,341,2.45,64.8,916,Irrigation,2: Good,-120.486458,35.189583
229,Hernandez,San Benito River,California,1962,38,290,1.71,22.2,617,Irrigation,2: Good,-120.834811,36.393982
230,San Antonio,San Antonio River,California,1965,62,437,18.39,431.7,6979,Irrigation,2: Good,-120.886663,35.798659
231,Nacimiento,Nacimiento River,California,1957,64,497,15.95,431.7,7104,Irrigation,2: Good,-120.886973,35.759477
